Animal ID,Name_in,DateTime_in,MonthYear_in,Found Location,Intake Type,Intake Condition,Animal Type_in,Sex upon Intake,Age upon Intake,Breed_in,Color_in,Name_out,DateTime_out,MonthYear_out,Date of Birth,Outcome Type,Outcome Subtype,Animal Type_out,Sex upon Outcome,Age upon Outcome,Breed_out,Color_out,shelter_time
A720722,Rooster 6,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Chocolate,Rooster 6,2016-03-08 16:05:00,03/08/2016 04:05:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black/Chocolate,23 days 00:03:00
A797895,Mothra,2019-06-19 10:22:00,06/19/2019 10:22:00 AM,Austin (TX),Owner Surrender,Normal,Bird,Intact Female,8 years,Dove,Gray/White,Mothra,2019-06-27 14:14:00,06/27/2019 02:14:00 PM,06/19/2011,Adoption,,Bird,Intact Female,8 years,Dove,Gray/White,8 days 03:52:00
A779666,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Red/Black,,2018-10-11 17:53:00,10/11/2018 05:53:00 PM,09/04/2017,Adoption,,Bird,Intact Male,1 year,Chicken,Red/Black,37 days 04:51:00
A706617,,2015-06-30 22:08:00,06/30/2015 10:08:00 PM,16672 Round Mountain in Travis (TX),Public Assist,Normal,Bird,Unknown,2 years,Pigeon,Tan,,2015-07-23 16:49:00,07/23/2015 04:49:00 PM,06/30/2013,Adoption,,Bird,Unknown,2 years,Pigeon,Tan,22 days 18:41:00
A779687,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Female,1 year,Chicken,Black/Brown,,2018-09-22 19:34:00,09/22/2018 07:34:00 PM,09/04/2017,Adoption,,Bird,Intact Female,1 year,Chicken,Black/Brown,18 days 06:32:00
A747816,,2017-04-25 11:53:00,04/25/2017 11:53:00 AM,5808 Mckinney Falls Pkwy in Austin (TX),Stray,Normal,Bird,Intact Female,1 year,Parakeet,Green/Yellow,,2017-05-01 14:55:00,05/01/2017 02:55:00 PM,04/25/2016,Adoption,,Bird,Intact Female,1 year,Parakeet,Green/Yellow,6 days 03:02:00
A779680,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Female,1 year,Chicken,Black/White,,2018-09-22 19:35:00,09/22/2018 07:35:00 PM,09/04/2017,Adoption,,Bird,Intact Female,1 year,Chicken,Black/White,18 days 06:33:00
A753968,,2017-07-13 16:57:00,07/13/2017 04:57:00 PM,7201 Levander Loop in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Chicken Mix,Red,,2017-07-22 18:10:00,07/22/2017 06:10:00 PM,07/13/2016,Adoption,Foster,Bird,Unknown,1 year,Chicken Mix,Red,9 days 01:13:00
A720734,Rooster 18,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Chocolate,Rooster 18,2016-03-08 15:07:00,03/08/2016 03:07:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black/Chocolate,22 days 23:05:00
A769957,,2018-04-13 10:25:00,04/13/2018 10:25:00 AM,4603 Cedar Point in Austin (TX),Stray,Normal,Bird,Intact Male,2 years,Peafowl Mix,Green/Blue,,2018-04-15 15:23:00,04/15/2018 03:23:00 PM,04/13/2016,Adoption,,Bird,Intact Male,2 years,Peafowl Mix,Green/Blue,2 days 04:58:00
A823434,,2020-09-23 15:25:00,09/23/2020 03:25:00 PM,8304 Sage Mountain Trail in Austin (TX),Stray,Normal,Bird,Unknown,2 years,Parakeet,White/Blue,,2020-10-01 14:34:00,10/01/2020 02:34:00 PM,09/23/2018,Adoption,,Bird,Unknown,2 years,Parakeet,White/Blue,7 days 23:09:00
A694120,,2014-12-20 15:39:00,12/20/2014 03:39:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,1 year,Finch,Gray/Black,,2014-12-21 18:03:00,12/21/2014 06:03:00 PM,12/20/2013,Adoption,,Bird,Unknown,1 year,Finch,Gray/Black,1 days 02:24:00
A769962,Coconuts,2018-04-13 11:42:00,04/13/2018 11:42:00 AM,Austin (TX),Owner Surrender,Normal,Bird,Intact Male,5 months,Chicken Mix,Red/White,Coconuts,2018-04-13 14:01:00,04/13/2018 02:01:00 PM,10/13/2017,Adoption,,Bird,Intact Male,5 months,Chicken Mix,Red/White,0 days 02:19:00
A728651,,2016-06-06 16:10:00,06/06/2016 04:10:00 PM,3308 Hampton Rd in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Chicken Mix,Black,,2016-06-15 12:58:00,06/15/2016 12:58:00 PM,06/06/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black,8 days 20:48:00
A726038,,2016-05-05 13:27:00,05/05/2016 01:27:00 PM,7201 Levander Loop in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Chicken Mix,Black/Red,,2016-05-10 14:24:00,05/10/2016 02:24:00 PM,05/05/2015,Adoption,,Bird,Unknown,1 year,Chicken Mix,Black/Red,5 days 00:57:00
A720726,Rooster 10,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Red/Black,Rooster 10,2016-03-08 14:07:00,03/08/2016 02:07:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Red/Black,22 days 22:05:00
A788215,,2019-01-28 15:14:00,01/28/2019 03:14:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,2 years,Parakeet Mix,Green/Yellow,,2019-01-30 10:47:00,01/30/2019 10:47:00 AM,01/28/2017,Adoption,,Bird,Unknown,2 years,Parakeet Mix,Green/Yellow,1 days 19:33:00
A718594,Chatterbox,2016-01-02 15:58:00,01/02/2016 03:58:00 PM,E 17Th St And Loreta St in Austin (TX),Stray,Normal,Bird,Intact Male,2 years,Budgerigar,Blue/Yellow,Chatterbox,2016-01-09 18:57:00,01/09/2016 06:57:00 PM,01/02/2014,Adoption,Foster,Bird,Intact Male,2 years,Budgerigar,Blue/Yellow,7 days 02:59:00
A779690,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St Side B in Manor (TX),Public Assist,Normal,Bird,Intact Female,1 year,Chicken,White,,2018-09-20 18:30:00,09/20/2018 06:30:00 PM,09/04/2017,Adoption,,Bird,Intact Female,1 year,Chicken,White,16 days 05:28:00
A749157,,2017-05-11 16:23:00,05/11/2017 04:23:00 PM,5401 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Bird,Unknown,7 months,Duck,Yellow,,2017-05-15 09:32:00,05/15/2017 09:32:00 AM,09/11/2016,Adoption,Foster,Bird,Unknown,8 months,Duck,Yellow,3 days 17:09:00
A780366,Donald,2018-09-13 17:46:00,09/13/2018 05:46:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,2 months,Duck Mix,Black,Donald,2018-09-13 17:59:00,09/13/2018 05:59:00 PM,07/13/2018,Adoption,,Bird,Unknown,2 months,Duck Mix,Black,0 days 00:13:00
A702293,,2015-05-11 18:26:00,05/11/2015 06:26:00 PM,6912 Nubian Ln in Austin (TX),Stray,Normal,Bird,Unknown,3 days,Duck Mix,Yellow/Black,,2015-05-11 18:33:00,05/11/2015 06:33:00 PM,05/08/2015,Adoption,,Bird,Unknown,3 days,Duck Mix,Yellow/Black,0 days 00:07:00
A720728,Rooster 12,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Cream,Rooster 12,2016-03-08 14:24:00,03/08/2016 02:24:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black/Cream,22 days 22:22:00
A701871,,2015-05-05 15:10:00,05/05/2015 03:10:00 PM,1100 E 3Rd St in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Chicken,Yellow/White,,2015-05-09 18:54:00,05/09/2015 06:54:00 PM,05/05/2014,Adoption,,Bird,Intact Male,1 year,Chicken,Yellow/White,4 days 03:44:00
A693590,,2014-12-11 11:07:00,12/11/2014 11:07:00 AM,6405 Aden Ln in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Chicken Mix,Red/Green,,2014-12-19 15:37:00,12/19/2014 03:37:00 PM,12/11/2013,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Red/Green,8 days 04:30:00
A722604,,2016-03-19 13:07:00,03/19/2016 01:07:00 PM,Old Lockhart Rd in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Yellow,,2016-05-04 14:45:00,05/04/2016 02:45:00 PM,03/19/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Yellow,46 days 01:38:00
A773032,,2018-05-26 14:28:00,05/26/2018 02:28:00 PM,8101 San Felipe in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,White,,2018-05-31 17:53:00,05/31/2018 05:53:00 PM,05/26/2017,Adoption,,Bird,Unknown,1 year,Parakeet Mix,White,5 days 03:25:00
A720741,Rooster 25,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Red/Brown,Rooster 25,2016-03-08 16:06:00,03/08/2016 04:06:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Red/Brown,23 days 00:04:00
A738762,,2016-11-20 13:23:00,11/20/2016 01:23:00 PM,Guadalupe St & W 24Th St in Austin (TX),Stray,Normal,Bird,Intact Female,5 months,Rhode Island Mix,Red,,2016-11-27 10:29:00,11/27/2016 10:29:00 AM,05/26/2016,Adoption,,Bird,Intact Female,6 months,Rhode Island Mix,Red,6 days 21:06:00
A779659,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Female,1 year,Chicken,Brown,,2018-09-22 19:20:00,09/22/2018 07:20:00 PM,09/04/2017,Adoption,,Bird,Intact Female,1 year,Chicken,Brown,18 days 06:18:00
A809275,,2019-11-22 11:02:00,11/22/2019 11:02:00 AM,3809 South 2Nd Street in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parrot,Green/Gray,,2019-11-29 18:23:00,11/29/2019 06:23:00 PM,11/22/2018,Adoption,,Bird,Unknown,1 year,Parrot,Green/Gray,7 days 07:21:00
A779671,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Female,1 year,Chicken,Red/Black,,2018-09-22 19:35:00,09/22/2018 07:35:00 PM,09/04/2017,Adoption,,Bird,Intact Female,1 year,Chicken,Red/Black,18 days 06:33:00
A800230,,2019-07-18 14:53:00,07/18/2019 02:53:00 PM,1214 Oltorf St in Austin (TX),Stray,Normal,Bird,Intact Female,1 year,Chicken,Black,,2019-07-25 16:33:00,07/25/2019 04:33:00 PM,07/18/2018,Adoption,,Bird,Intact Female,1 year,Chicken,Black,7 days 01:40:00
A779213,,2018-08-27 19:02:00,08/27/2018 07:02:00 PM,7597 Chevy Chase Drive in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Quaker Mix,Green/Silver,,2018-09-07 11:17:00,09/07/2018 11:17:00 AM,08/27/2017,Adoption,Foster,Bird,Unknown,1 year,Quaker Mix,Green/Silver,10 days 16:15:00
A809525,,2019-11-25 18:52:00,11/25/2019 06:52:00 PM,8417 Jamestown Drive in Austin (TX),Stray,Normal,Bird,Unknown,4 months,Parakeet,White/Gray,,2019-11-30 11:33:00,11/30/2019 11:33:00 AM,07/25/2019,Adoption,,Bird,Unknown,4 months,Parakeet,White/Gray,4 days 16:41:00
A779677,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Red/White,,2018-09-22 19:36:00,09/22/2018 07:36:00 PM,09/04/2017,Adoption,,Bird,Intact Male,1 year,Chicken,Red/White,18 days 06:34:00
A677505,,2014-04-25 15:26:00,04/25/2014 03:26:00 PM,3002 E 18 1/2 St in Austin (TX),Stray,Normal,Bird,Intact Male,2 years,Bantam Mix,White,,2014-05-06 18:40:00,05/06/2014 06:40:00 PM,04/25/2012,Adoption,,Bird,Intact Male,2 years,Bantam Mix,White,11 days 03:14:00
A677676,,2014-04-27 17:21:00,04/27/2014 05:21:00 PM,3002 E 18 1/2 St in Austin (TX),Stray,Normal,Bird,Intact Male,2 years,Bantam Mix,White,,2014-05-06 18:40:00,05/06/2014 06:40:00 PM,04/25/2012,Adoption,,Bird,Intact Male,2 years,Bantam Mix,White,9 days 01:19:00
A754474,*Elvis,2017-07-21 12:34:00,07/21/2017 12:34:00 PM,5509 Exeter Dr in Austin (TX),Stray,Normal,Bird,Unknown,2 years,Muscovy,Tricolor,*Elvis,2017-07-31 16:34:00,07/31/2017 04:34:00 PM,07/21/2015,Adoption,,Bird,Unknown,2 years,Muscovy,Tricolor,10 days 04:00:00
A781544,,2018-10-01 13:25:00,10/01/2018 01:25:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Male,2 years,Chicken Mix,Red,,2018-10-11 17:53:00,10/11/2018 05:53:00 PM,10/01/2016,Adoption,,Bird,Intact Male,2 years,Chicken Mix,Red,10 days 04:28:00
A773472,,2018-06-01 14:06:00,06/01/2018 02:06:00 PM,Fm 2222 & Fm 620 in Austin (TX),Wildlife,Normal,Bird,Intact Female,3 years,Peafowl Mix,Gray/Green,,2018-06-15 10:50:00,06/15/2018 10:50:00 AM,06/01/2015,Adoption,Foster,Bird,Intact Female,3 years,Peafowl Mix,Gray/Green,13 days 20:44:00
A695477,,2015-01-16 13:23:00,01/16/2015 01:23:00 PM,3205 Dolphin Dr in Austin (TX),Stray,Normal,Bird,Intact Female,2 years,Turkey Mix,Brown/White,,2015-01-27 10:39:00,01/27/2015 10:39:00 AM,01/16/2013,Adoption,,Bird,Intact Female,2 years,Turkey Mix,Brown/White,10 days 21:16:00
A733024,Cabana,2016-08-16 11:47:00,08/16/2016 11:47:00 AM,Travis (TX),Owner Surrender,Normal,Bird,Intact Female,4 years,Cockatoo,White/Yellow,Cabana,2016-08-18 09:21:00,08/18/2016 09:21:00 AM,08/16/2012,Adoption,,Bird,Intact Female,4 years,Cockatoo,White/Yellow,1 days 21:34:00
A734515,Cogburn,2016-09-08 02:50:00,09/08/2016 02:50:00 AM,10300 E 290 in Travis (TX),Public Assist,Normal,Bird,Unknown,1 year,Chicken Mix,Brown/Red,Cogburn,2016-09-15 13:19:00,09/15/2016 01:19:00 PM,09/08/2015,Adoption,,Bird,Unknown,1 year,Chicken Mix,Brown/Red,7 days 10:29:00
A723578,,2016-04-03 14:29:00,04/03/2016 02:29:00 PM,7820 Elkhorn Mountain Trl in Austin (TX),Stray,Injured,Bird,Intact Female,1 year,Chicken,Red,,2016-04-07 14:19:00,04/07/2016 02:19:00 PM,04/03/2015,Adoption,,Bird,Intact Female,1 year,Chicken,Red,3 days 23:50:00
A784081,Apollo,2018-11-11 12:37:00,11/11/2018 12:37:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Male,2 years,Conure Mix,Green/Red,Apollo,2018-11-11 18:04:00,11/11/2018 06:04:00 PM,05/11/2016,Adoption,,Bird,Intact Male,2 years,Conure Mix,Green/Red,0 days 05:27:00
A793323,,2019-04-23 15:05:00,04/23/2019 03:05:00 PM,2824 Rio Grande Street in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,Blue/White,,2019-04-27 12:37:00,04/27/2019 12:37:00 PM,04/23/2018,Adoption,,Bird,Unknown,1 year,Parakeet Mix,Blue/White,3 days 21:32:00
A733254,,2016-08-19 13:24:00,08/19/2016 01:24:00 PM,13309 Vizquel Loop in Austin (TX),Stray,Normal,Bird,Intact Female,4 months,Chicken Mix,Brown/Black,,2016-08-24 13:44:00,08/24/2016 01:44:00 PM,04/19/2016,Adoption,,Bird,Intact Female,4 months,Chicken Mix,Brown/Black,5 days 00:20:00
A675898,Java,2014-04-02 11:53:00,04/02/2014 11:53:00 AM,Austin (TX),Owner Surrender,Normal,Bird,Intact Female,6 years,Cockatiel Mix,Gray/Yellow,Java,2014-04-26 11:57:00,04/26/2014 11:57:00 AM,04/02/2008,Adoption,Foster,Bird,Intact Female,6 years,Cockatiel Mix,Gray/Yellow,24 days 00:04:00
A706618,,2015-06-30 22:08:00,06/30/2015 10:08:00 PM,16672 Round Mountain in Travis (TX),Public Assist,Normal,Bird,Unknown,2 years,Pigeon,White,,2015-07-23 16:49:00,07/23/2015 04:49:00 PM,06/30/2013,Adoption,,Bird,Unknown,2 years,Pigeon,White,22 days 18:41:00
A823617,,2020-09-27 10:18:00,09/27/2020 10:18:00 AM,500 West Canyon Ridge Drive in Austin (TX),Stray,Normal,Bird,Unknown,2 years,Chicken,Black,,2020-10-01 14:34:00,10/01/2020 02:34:00 PM,09/27/2018,Adoption,,Bird,Unknown,2 years,Chicken,Black,4 days 04:16:00
A724460,Daffy,2016-04-17 19:03:00,04/17/2016 07:03:00 PM,Camacho St And Mattie St in Austin (TX),Stray,Normal,Bird,Intact Female,4 months,Duck Mix,White,Daffy,2016-04-27 17:36:00,04/27/2016 05:36:00 PM,12/17/2015,Adoption,Foster,Bird,Intact Female,4 months,Duck Mix,White,9 days 22:33:00
A748817,,2017-05-07 13:13:00,05/07/2017 01:13:00 PM,505 W 22Nd St in Austin (TX),Stray,Normal,Bird,Unknown,4 months,Duck Mix,Yellow,,2017-05-11 18:36:00,05/11/2017 06:36:00 PM,12/07/2016,Adoption,,Bird,Unknown,5 months,Duck Mix,Yellow,4 days 05:23:00
A765059,,2018-01-12 11:50:00,01/12/2018 11:50:00 AM,4616 N Ih 35 in Austin (TX),Stray,Normal,Bird,Intact Female,1 year,Chicken Mix,Black/White,,2018-01-29 19:42:00,01/29/2018 07:42:00 PM,01/12/2017,Adoption,Foster,Bird,Intact Female,1 year,Chicken Mix,Black/White,17 days 07:52:00
A779929,,2018-09-06 18:46:00,09/06/2018 06:46:00 PM,101 Sandra Muraida Way in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parrot Mix,Green,,2018-09-10 11:15:00,09/10/2018 11:15:00 AM,09/06/2017,Adoption,,Bird,Unknown,1 year,Parrot Mix,Green,3 days 16:29:00
A722593,,2016-03-19 11:39:00,03/19/2016 11:39:00 AM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,0 years,Duck Mix,Yellow,,2016-03-24 12:37:00,03/24/2016 12:37:00 PM,03/19/2016,Adoption,Foster,Bird,Unknown,5 days,Duck Mix,Yellow,5 days 00:58:00
A779674,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Red/Black,,2018-09-30 16:36:00,09/30/2018 04:36:00 PM,09/04/2017,Adoption,,Bird,Intact Male,1 year,Chicken,Red/Black,26 days 03:34:00
A720724,Rooster 8,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Red/Black,Rooster 8,2016-03-08 13:49:00,03/08/2016 01:49:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Red/Black,22 days 21:47:00
A744090,Marley,2017-02-23 08:15:00,02/23/2017 08:15:00 AM,45Th & Duval in Austin (TX),Stray,Injured,Bird,Intact Male,1 year,Parakeet Mix,Green/Black,Marley,2017-03-30 07:43:00,03/30/2017 07:43:00 AM,02/23/2016,Adoption,Foster,Bird,Intact Male,1 year,Parakeet Mix,Green/Black,34 days 23:28:00
A727626,,2016-05-23 20:04:00,05/23/2016 08:04:00 PM,2906 Martin Luther King Jr in Austin (TX),Stray,Normal,Bird,Intact Female,1 year,Chicken Mix,Brown/Red,,2016-06-06 11:55:00,06/06/2016 11:55:00 AM,05/23/2015,Adoption,,Bird,Intact Female,1 year,Chicken Mix,Brown/Red,13 days 15:51:00
A720738,Rooster 22,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Chocolate,Rooster 22,2016-03-08 19:57:00,03/08/2016 07:57:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black/Chocolate,23 days 03:55:00
A720717,Rooster 1,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Cream,Rooster 1,2016-03-08 14:15:00,03/08/2016 02:15:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black/Cream,22 days 22:13:00
A750283,,2017-05-25 11:23:00,05/25/2017 11:23:00 AM,205 Natali in Austin (TX),Stray,Normal,Bird,Unknown,4 weeks,Chicken Mix,Gray,,2017-05-29 14:20:00,05/29/2017 02:20:00 PM,04/25/2017,Adoption,,Bird,Unknown,4 weeks,Chicken Mix,Gray,4 days 02:57:00
A727058,,2016-05-17 15:32:00,05/17/2016 03:32:00 PM,13208 Lipton Loop in Del Valle (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,Green/Blue,,2016-05-21 11:47:00,05/21/2016 11:47:00 AM,05/17/2015,Adoption,,Bird,Unknown,1 year,Parakeet Mix,Green/Blue,3 days 20:15:00
A779664,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Red/Black,,2018-09-21 17:31:00,09/21/2018 05:31:00 PM,09/04/2017,Adoption,,Bird,Intact Male,1 year,Chicken,Red/Black,17 days 04:29:00
A672939,,2014-02-18 14:42:00,02/18/2014 02:42:00 PM,Circle Drive in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Chicken,Red/Black,,2014-03-03 12:16:00,03/03/2014 12:16:00 PM,02/18/2013,Adoption,,Bird,Intact Male,1 year,Chicken,Red/Black,12 days 21:34:00
A785008,,2018-11-24 18:41:00,11/24/2018 06:41:00 PM,440 East Saintt Elmo Road in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,Blue,,2018-11-30 15:19:00,11/30/2018 03:19:00 PM,11/24/2017,Adoption,,Bird,Unknown,1 year,Parakeet Mix,Blue,5 days 20:38:00
A740019,Greeki,2016-12-10 12:27:00,12/10/2016 12:27:00 PM,1145 Gunter St in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Cockatiel Mix,Gray/White,Greeki,2016-12-12 17:35:00,12/12/2016 05:35:00 PM,12/10/2015,Adoption,,Bird,Unknown,1 year,Cockatiel Mix,Gray/White,2 days 05:08:00
A666232,,2013-10-29 11:09:00,10/29/2013 11:09:00 AM,4808 Creek Bend Dr in Austin (TX),Stray,Injured,Bird,Unknown,1 year,Pigeon Mix,Gray,,2013-11-03 19:02:00,11/03/2013 07:02:00 PM,10/29/2012,Adoption,,Bird,Unknown,1 year,Pigeon Mix,Gray,5 days 07:53:00
A752206,,2017-06-19 16:22:00,06/19/2017 04:22:00 PM,2700 W Anderson Ln in Austin (TX),Stray,Normal,Bird,Unknown,2 weeks,Duck Mix,Yellow,,2017-06-23 15:36:00,06/23/2017 03:36:00 PM,06/04/2017,Adoption,,Bird,Unknown,2 weeks,Duck Mix,Yellow,3 days 23:14:00
A724341,,2016-04-16 07:56:00,04/16/2016 07:56:00 AM,5706 Nancy Drive in Austin (TX),Stray,Injured,Bird,Intact Male,2 years,Chicken Mix,Black/Red,,2016-05-04 14:44:00,05/04/2016 02:44:00 PM,04/15/2014,Adoption,,Bird,Intact Male,2 years,Chicken Mix,Black/Red,18 days 06:48:00
A720727,Rooster 11,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Red,Rooster 11,2016-03-08 13:47:00,03/08/2016 01:47:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black/Red,22 days 21:45:00
A714136,,2015-10-18 13:55:00,10/18/2015 01:55:00 PM,5300 S Mopac in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Cockatiel Mix,Green/Yellow,,2015-10-22 11:35:00,10/22/2015 11:35:00 AM,10/18/2014,Adoption,,Bird,Unknown,1 year,Cockatiel Mix,Green/Yellow,3 days 21:40:00
A761210,,2017-10-31 15:49:00,10/31/2017 03:49:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Male,7 months,Chicken Mix,White,,2017-11-04 18:37:00,11/04/2017 06:37:00 PM,03/31/2017,Adoption,,Bird,Intact Male,7 months,Chicken Mix,White,4 days 02:48:00
A720737,Rooster 21,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Red/Black,Rooster 21,2016-03-08 15:19:00,03/08/2016 03:19:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Red/Black,22 days 23:17:00
A779691,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Female,1 year,Chicken,Brown,,2018-09-23 17:06:00,09/23/2018 05:06:00 PM,09/04/2017,Adoption,,Bird,Intact Female,1 year,Chicken,Brown,19 days 04:04:00
A796316,,2019-05-31 12:27:00,05/31/2019 12:27:00 PM,1833 Cheddar Loop in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet,Yellow,,2019-06-05 10:53:00,06/05/2019 10:53:00 AM,05/31/2018,Adoption,,Bird,Unknown,1 year,Parakeet,Yellow,4 days 22:26:00
A695478,,2015-01-16 13:23:00,01/16/2015 01:23:00 PM,3205 Dolphin Dr in Austin (TX),Stray,Normal,Bird,Intact Male,2 years,Guinea Mix,Brown/White,,2015-01-26 10:54:00,01/26/2015 10:54:00 AM,01/16/2013,Adoption,,Bird,Intact Male,2 years,Guinea Mix,Brown/White,9 days 21:31:00
A714243,,2015-10-20 11:15:00,10/20/2015 11:15:00 AM,1904 Cannonwood Ln in Austin (TX),Stray,Injured,Bird,Unknown,6 months,Chicken Mix,White,,2015-11-10 10:47:00,11/10/2015 10:47:00 AM,04/20/2015,Adoption,,Bird,Unknown,6 months,Chicken Mix,White,20 days 23:32:00
A686687,,2014-08-25 13:29:00,08/25/2014 01:29:00 PM,Georgian And Pernell in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Cockatiel,Gray/White,,2014-08-29 18:25:00,08/29/2014 06:25:00 PM,08/25/2013,Adoption,,Bird,Unknown,1 year,Cockatiel,Gray/White,4 days 04:56:00
A756420,,2017-08-19 13:03:00,08/19/2017 01:03:00 PM,10963 Sprinkle Road in Austin (TX),Stray,Normal,Bird,Unknown,1 month,Parakeet Mix,Green/White,,2017-08-23 17:26:00,08/23/2017 05:26:00 PM,06/19/2017,Adoption,,Bird,Unknown,2 months,Parakeet Mix,Green/White,4 days 04:23:00
